pa_name,clip,PA,N,S,R,F,dataset
exploring_cairo.wav_1,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_2,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_3,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_4,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_5,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_6,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_7,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_8,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_9,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_10,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_11,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_12,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_13,exploring_cairo,19.97,17.46,1.37,0.01,0.14,teste
exploring_cairo.wav_14,exploring_cairo,30.33,26.34,1.37,0.1,0.02,teste
exploring_cairo.wav_15,exploring_cairo,25.17,22.73,1.47,0.02,0.01,teste
exploring_cairo.wav_16,exploring_cairo,36.13,31.6,1.4,0.02,0.01,teste
exploring_cairo.wav_17,exploring_cairo,35.53,31.99,1.48,0.02,0.02,teste
exploring_cairo.wav_18,exploring_cairo,28.62,24.75,1.36,0.07,0.06,teste
exploring_cairo.wav_19,exploring_cairo,35.33,31.32,1.44,0.04,0.05,teste
exploring_cairo.wav_20,exploring_cairo,37.72,33.14,1.47,0.23,0.02,teste
exploring_cairo.wav_21,exploring_cairo,40.05,36.02,1.48,0.03,0.01,teste
exploring_cairo.wav_22,exploring_cairo,37.75,33.74,1.47,0.03,0.08,teste
exploring_cairo.wav_23,exploring_cairo,43.08,33.58,1.49,0.69,0.19,teste
exploring_cairo.wav_24,exploring_cairo,39.39,34.36,1.47,0.06,0.34,teste
exploring_cairo.wav_25,exploring_cairo,37.53,32.78,1.47,0.24,0.05,teste
exploring_cairo.wav_26,exploring_cairo,38.13,34.6,1.51,0.06,0.04,teste
exploring_cairo.wav_27,exploring_cairo,40.65,37.4,1.57,0.03,0.17,teste
exploring_cairo.wav_28,exploring_cairo,37.59,34.02,1.5,0.06,0.05,teste
exploring_cairo.wav_29,exploring_cairo,37.73,32.77,1.42,0.06,0.22,teste
exploring_cairo.wav_30,exploring_cairo,35.78,32.45,1.51,0.06,0.06,teste
exploring_cairo.wav_31,exploring_cairo,35.98,31.38,1.39,0.02,0.0,teste
exploring_cairo.wav_32,exploring_cairo,37.68,33.35,1.43,0.01,0.01,teste
exploring_cairo.wav_33,exploring_cairo,38.09,34.8,1.57,0.02,0.26,teste
exploring_cairo.wav_34,exploring_cairo,33.81,32.24,1.65,0.04,0.05,teste
exploring_cairo.wav_35,exploring_cairo,35.37,32.63,1.55,0.02,0.03,teste
exploring_cairo.wav_36,exploring_cairo,36.02,31.27,1.38,0.03,0.05,teste
exploring_cairo.wav_37,exploring_cairo,35.7,31.32,1.41,0.02,0.01,teste
exploring_cairo.wav_38,exploring_cairo,32.36,29.53,1.52,0.02,0.09,teste
exploring_cairo.wav_39,exploring_cairo,37.01,32.16,1.38,0.03,0.07,teste
exploring_cairo.wav_40,exploring_cairo,35.75,31.5,1.44,0.06,0.14,teste
exploring_cairo.wav_41,exploring_cairo,35.52,30.51,1.35,0.01,0.09,teste
exploring_cairo.wav_42,exploring_cairo,34.41,30.34,1.43,0.03,0.09,teste
exploring_cairo.wav_43,exploring_cairo,23.34,21.16,1.5,0.05,0.11,teste
exploring_cairo.wav_44,exploring_cairo,14.04,5.61,1.53,1.61,1.02,teste
exploring_cairo.wav_45,exploring_cairo,26.49,18.55,1.33,0.83,0.23,teste
exploring_cairo.wav_46,exploring_cairo,33.75,24.62,1.36,0.67,0.4,teste
exploring_cairo.wav_47,exploring_cairo,40.56,23.66,1.32,1.26,0.93,teste
exploring_cairo.wav_48,exploring_cairo,31.38,22.69,1.42,0.51,0.69,teste
exploring_cairo.wav_49,exploring_cairo,33.98,22.44,1.44,1.02,0.46,teste
exploring_cairo.wav_50,exploring_cairo,34.82,24.08,1.29,0.92,0.3,teste
exploring_cairo.wav_51,exploring_cairo,35.29,25.88,1.31,0.69,0.32,teste
exploring_cairo.wav_52,exploring_cairo,32.53,24.55,1.38,0.55,0.38,teste
exploring_cairo.wav_53,exploring_cairo,45.0,24.14,1.32,1.45,1.3,teste
exploring_cairo.wav_54,exploring_cairo,31.6,22.75,1.42,0.57,0.62,teste
exploring_cairo.wav_55,exploring_cairo,34.39,22.02,1.46,1.2,0.38,teste
exploring_cairo.wav_56,exploring_cairo,36.61,24.66,1.27,0.97,0.39,teste
exploring_cairo.wav_57,exploring_cairo,35.39,25.49,1.34,0.81,0.27,teste
exploring_cairo.wav_58,exploring_cairo,34.3,24.84,1.36,0.68,0.44,teste
exploring_cairo.wav_59,exploring_cairo,40.96,23.98,1.32,1.26,0.92,teste
exploring_cairo.wav_60,exploring_cairo,31.5,22.79,1.42,0.53,0.66,teste
exploring_cairo.wav_61,exploring_cairo,33.71,22.63,1.45,0.97,0.44,teste
exploring_cairo.wav_62,exploring_cairo,35.82,24.75,1.35,0.96,0.31,teste
exploring_cairo.wav_63,exploring_cairo,37.73,29.77,1.38,0.52,0.23,teste
exploring_cairo.wav_64,exploring_cairo,35.65,28.39,1.25,0.35,0.18,teste
exploring_cairo.wav_65,exploring_cairo,43.09,29.56,1.21,0.9,0.44,teste
exploring_cairo.wav_66,exploring_cairo,31.0,23.63,1.36,0.45,0.44,teste
exploring_cairo.wav_67,exploring_cairo,36.84,26.5,1.3,0.79,0.3,teste
exploring_cairo.wav_68,exploring_cairo,38.96,26.73,1.22,0.92,0.36,teste
exploring_cairo.wav_69,exploring_cairo,38.78,28.38,1.26,0.8,0.16,teste
exploring_cairo.wav_70,exploring_cairo,37.03,28.14,1.27,0.55,0.27,teste
exploring_cairo.wav_71,exploring_cairo,40.77,25.2,1.29,1.19,0.68,teste
exploring_cairo.wav_72,exploring_cairo,37.31,29.64,1.24,0.11,0.55,teste
exploring_cairo.wav_73,exploring_cairo,31.13,25.07,1.32,0.3,0.27,teste
exploring_cairo.wav_74,exploring_cairo,38.11,27.55,1.2,0.8,0.17,teste
exploring_cairo.wav_75,exploring_cairo,38.41,28.91,1.24,0.61,0.22,teste
exploring_cairo.wav_76,exploring_cairo,35.11,27.1,1.29,0.49,0.26,teste
exploring_cairo.wav_77,exploring_cairo,43.69,30.02,1.17,0.8,0.55,teste
exploring_cairo.wav_78,exploring_cairo,31.46,23.63,1.37,0.46,0.52,teste
exploring_cairo.wav_79,exploring_cairo,36.32,26.26,1.32,0.82,0.23,teste
exploring_cairo.wav_80,exploring_cairo,39.09,26.96,1.23,0.94,0.3,teste
exploring_cairo.wav_81,exploring_cairo,39.16,28.83,1.29,0.8,0.17,teste
exploring_cairo.wav_82,exploring_cairo,42.03,33.23,1.32,0.35,0.39,teste
exploring_cairo.wav_83,exploring_cairo,40.78,32.34,1.43,0.64,0.08,teste
exploring_cairo.wav_84,exploring_cairo,35.8,29.48,1.28,0.23,0.14,teste
exploring_cairo.wav_85,exploring_cairo,35.57,26.11,1.28,0.75,0.19,teste
exploring_cairo.wav_86,exploring_cairo,45.14,32.41,1.26,0.91,0.2,teste
exploring_cairo.wav_87,exploring_cairo,37.17,28.16,1.24,0.46,0.39,teste
exploring_cairo.wav_88,exploring_cairo,36.8,28.05,1.29,0.55,0.27,teste
exploring_cairo.wav_89,exploring_cairo,45.67,28.45,1.24,1.32,0.51,teste
exploring_cairo.wav_90,exploring_cairo,30.96,23.54,1.36,0.47,0.42,teste
exploring_cairo.wav_91,exploring_cairo,40.61,29.65,1.3,0.76,0.3,teste
exploring_cairo.wav_92,exploring_cairo,41.94,34.16,1.29,0.36,0.07,teste
exploring_cairo.wav_93,exploring_cairo,48.37,34.58,1.27,1.01,0.12,teste
exploring_cairo.wav_94,exploring_cairo,39.84,30.5,1.23,0.54,0.19,teste
exploring_cairo.wav_95,exploring_cairo,39.24,25.63,1.26,1.12,0.41,teste
exploring_cairo.wav_96,exploring_cairo,37.27,29.08,1.25,0.28,0.45,teste
exploring_cairo.wav_97,exploring_cairo,34.22,25.19,1.32,0.73,0.23,teste
exploring_cairo.wav_98,exploring_cairo,46.46,34.23,1.28,0.79,0.23,teste
exploring_cairo.wav_99,exploring_cairo,33.51,26.58,1.22,0.29,0.25,teste
exploring_cairo.wav_100,exploring_cairo,33.62,28.06,1.33,0.31,0.01,teste
exploring_cairo.wav_101,exploring_cairo,34.85,27.77,1.25,0.47,0.01,teste
exploring_cairo.wav_102,exploring_cairo,32.02,25.53,1.24,0.44,0.01,teste
exploring_cairo.wav_103,exploring_cairo,32.17,26.24,1.29,0.38,0.02,teste
exploring_cairo.wav_104,exploring_cairo,43.72,34.28,1.3,0.37,0.4,teste
exploring_cairo.wav_105,exploring_cairo,45.62,37.89,1.34,0.09,0.42,teste
exploring_cairo.wav_106,exploring_cairo,31.59,25.96,1.25,0.23,0.07,teste
exploring_cairo.wav_107,exploring_cairo,32.45,26.56,1.24,0.15,0.19,teste
exploring_cairo.wav_108,exploring_cairo,39.33,31.74,1.18,0.08,0.14,teste
exploring_cairo.wav_109,exploring_cairo,28.04,19.59,1.28,0.42,0.87,teste
exploring_cairo.wav_110,exploring_cairo,40.84,28.71,1.3,0.31,1.22,teste
exploring_cairo.wav_111,exploring_cairo,32.56,25.11,1.15,0.2,0.48,teste
exploring_cairo.wav_112,exploring_cairo,40.99,32.21,1.25,0.04,0.76,teste
exploring_cairo.wav_113,exploring_cairo,47.16,36.69,1.13,0.16,0.33,teste
exploring_cairo.wav_114,exploring_cairo,39.98,31.86,1.17,0.06,0.37,teste
exploring_cairo.wav_115,exploring_cairo,42.44,34.94,1.25,0.17,0.06,teste
exploring_cairo.wav_116,exploring_cairo,39.73,34.2,1.39,0.1,0.15,teste
exploring_cairo.wav_117,exploring_cairo,40.33,32.4,1.31,0.46,0.08,teste
exploring_cairo.wav_118,exploring_cairo,51.12,41.1,1.22,0.15,0.23,teste
exploring_cairo.wav_119,exploring_cairo,29.75,24.16,1.32,0.26,0.28,teste
exploring_cairo.wav_120,exploring_cairo,38.36,31.41,1.24,0.13,0.18,teste
exploring_cairo.wav_121,exploring_cairo,45.7,36.88,1.25,0.1,0.42,teste
exploring_cairo.wav_122,exploring_cairo,44.78,34.47,1.37,0.25,0.83,teste
exploring_cairo.wav_123,exploring_cairo,40.32,32.0,1.19,0.1,0.44,teste
exploring_cairo.wav_124,exploring_cairo,43.86,36.25,1.29,0.07,0.32,teste
exploring_cairo.wav_125,exploring_cairo,40.82,31.77,1.23,0.17,0.62,teste
exploring_cairo.wav_126,exploring_cairo,39.95,31.74,1.37,0.46,0.26,teste
exploring_cairo.wav_127,exploring_cairo,40.14,33.42,1.33,0.14,0.28,teste
exploring_cairo.wav_128,exploring_cairo,41.85,33.43,1.24,0.13,0.47,teste
exploring_cairo.wav_129,exploring_cairo,38.18,30.96,1.26,0.1,0.4,teste
exploring_cairo.wav_130,exploring_cairo,40.49,32.61,1.24,0.11,0.41,teste
exploring_cairo.wav_131,exploring_cairo,37.44,28.89,1.26,0.39,0.39,teste
exploring_cairo.wav_132,exploring_cairo,41.54,31.28,1.22,0.09,0.99,teste
exploring_cairo.wav_133,exploring_cairo,42.51,32.85,1.27,0.2,0.73,teste
exploring_cairo.wav_134,exploring_cairo,38.57,29.62,1.25,0.22,0.67,teste
exploring_cairo.wav_135,exploring_cairo,35.75,30.29,1.31,0.1,0.03,teste
exploring_cairo.wav_136,exploring_cairo,39.72,32.3,1.2,0.18,0.01,teste
exploring_cairo.wav_137,exploring_cairo,44.31,33.01,1.19,0.39,0.6,teste
exploring_cairo.wav_138,exploring_cairo,37.74,32.17,1.47,0.14,0.38,teste
exploring_cairo.wav_139,exploring_cairo,50.0,35.29,1.43,0.3,1.44,teste
exploring_cairo.wav_140,exploring_cairo,42.55,28.82,1.25,0.58,1.04,teste
