pa_name,clip,PA,N,S,R,F,dataset
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_1,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,16.23,11.50,0.57,0.24,0.01,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_2,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,29.41,25.51,1.38,0.15,0.01,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_3,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,31.50,25.62,1.26,0.32,0.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_4,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,32.20,24.33,1.13,0.58,0.02,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_5,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,29.48,21.67,0.89,0.39,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_6,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.97,22.70,1.20,0.26,0.01,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_7,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,33.45,26.02,1.06,0.27,0.01,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_8,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.77,23.46,1.39,0.32,0.02,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_9,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.05,22.10,1.30,0.36,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_10,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,29.33,24.48,1.24,0.06,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_11,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.96,25.94,1.27,0.12,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_12,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.98,29.60,1.13,0.23,0.25,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_13,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,22.68,17.49,0.95,0.10,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_14,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.53,21.47,1.03,0.09,0.20,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_15,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.02,28.28,1.06,0.11,0.45,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_16,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.25,31.25,1.24,0.07,0.59,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_17,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.52,34.62,1.39,0.15,0.40,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_18,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.18,34.00,1.30,0.32,0.81,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_19,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.29,30.61,1.41,0.08,0.46,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_20,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.84,35.63,1.34,0.08,0.62,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_21,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.59,30.27,1.25,0.08,1.11,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_22,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.94,32.84,1.32,0.34,0.48,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_23,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.68,39.36,1.32,0.08,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_24,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.44,40.20,1.30,0.11,0.19,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_25,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,28.24,23.90,1.36,0.03,0.38,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_26,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,26.97,22.04,1.26,0.17,0.24,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_27,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.45,23.07,1.30,0.03,0.27,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_28,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,33.31,23.20,1.26,0.82,0.35,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_29,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,32.73,15.63,1.02,0.33,3.16,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_30,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.15,30.06,1.14,0.07,0.39,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_31,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.26,26.55,1.03,1.42,0.80,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_32,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.15,23.07,1.16,0.13,0.65,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_33,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.94,30.60,1.26,0.87,0.45,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_34,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.63,31.15,1.22,1.19,0.25,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_35,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.32,34.43,1.29,0.40,0.24,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_36,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.06,37.47,1.47,0.27,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_37,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,61.87,36.13,1.31,1.03,1.77,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_38,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.58,35.40,1.23,0.50,0.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_39,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.31,33.71,1.51,0.26,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_40,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,61.03,33.96,1.32,1.86,0.87,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_41,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,47.02,36.74,1.30,0.52,0.22,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_42,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.82,33.16,1.40,0.20,0.14,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_43,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,60.48,34.11,1.31,1.27,1.63,snoop
